BP_d18O,d18O,BP_WTD,WTD
24,19.73,-16.96,-1.409515484
65,19.06,24,-0.862655658
106,19.00,105.92,-1.267408313
188,18.19,187.84,-1.788650024
229,18.27,269.76,-2.28122654
270,20.20,351.68,-1.747551369
311,18.65,433.6,-0.832889406
352,18.59,515.52,-0.63273278
393,19.69,597.44,0.075995889
434,20.08,679.36,-0.052823784
516,21.76,761.28,0.371084787
597,22.10,843.2,0.733617372
679,21.88,925.12,-0.455013132
761,22.24,1007.04,0.263188855
843,22.56,1088.96,0.107601257
925,21.51,1170.88,0.137096943
1007,21.78,1252.8,-1.732787616
1089,21.96,1334.72,-0.940145341
1171,21.62,1416.64,-0.495918572
1212,20.04,1498.56,0.499249499
1253,19.93,1580.48,0.217890536
1294,20.25,1662.4,-0.01646292
1335,21.12,1744.32,0.110466456
1376,21.26,1826.24,0.792078258
1417,21.45,1908.16,0.789567617
1458,21.02,1990.08,0.787318812
1499,21.74,2072,-0.214074016
1540,22.39,2153.92,-0.12639689
1580,21.65,2235.84,-0.020121427
1662,21.23,2317.76,0.106290532
1744,21.82,2399.68,0.048685933
2154,22.82,2481.6,1.031241077
2236,21.81,2563.52,0.276021884
2318,21.02,2645.44,0.214913279
2400,22.01,2727.36,0.351266935
2564,24.00,2809.28,0.52637451
2645,23.13,2891.2,-0.139332836
2891,22.32,2973.12,-0.953756336
2973,21.83,3055.04,-0.573579031
3055,22.09,3136.96,-1.300943761
3137,21.46,3218.88,-0.369329484
3219,22.49,3300.8,-0.745606578
3301,22.53,3382.72,1.060942868
3383,22.34,3464.64,0.035149188
3465,21.00,3546.56,-1.154490581
3547,21.70,3628.48,-0.774214787
3628,21.93,3710.4,-0.550825905
3710,21.73,3792.32,-2.446237411
3874,22.49,3874.24,-0.556751254
3956,24.61,3956.16,0.356489977
4038,21.26,4038.08,-1.308617944
4202,20.05,4120,-2.497207032
4284,20.91,4201.92,-0.27034506
,,4283.84,-0.034894402
,,4365.76,0.168407678
,,4447.68,0.232035753
,,4529.6,-0.435528292
,,4611.52,0.215773156
,,4693.44,0.572310697
,,4775.36,-0.139164902
,,4857.28,0.17459939
,,4939.2,0.389711589
,,5021.12,0.786692205
,,5103.04,0.56874557
,,5184.96,0.702246482
,,5266.88,0.969432779
,,5348.8,0.050755436
,,5430.72,0.276384384
,,5512.64,0.159363299
,,5594.56,0.364595679
,,5676.48,0.271246378
,,5758.4,0.663483999
,,5840.32,0.666562095
,,5922.24,0.711466932
,,6004.16,0.455299239
,,6086.08,0.864067837
,,6168,0.85603011
,,6249.92,0.641619464
,,6331.84,0.639493786
,,6413.76,0.822688876
,,6495.68,0.507872136
,,6577.6,0.866268791
,,6659.52,0.884744553
