Alnus,Calluna,Sphagnum
6,26,2
10,37,4
11,73,10
15,90,51
59,91,77
63,92,78
72,107,80
82,143,88
101,144,92
103,256,124
106,396,126
109,397,132
113,398,143
116,401,149
120,434,155
145,481,166
149,558,320
151,607,322
153,632,326
163,664,560
168,666,591
169,668,611
170,685,656
171,746,657
176,781,674
187,788,726
192,812,768
220,820,785
221,845,787
232,848,791
233,885,836
238,919,923
252,939,1059
254,960,1062
256,962,1076
329,967,1096
345,968,1099
374,969,1169
379,1013,1257
389,1063,1285
399,1080,1583
412,1101,1727
515,1129,1731
565,1134,1744
599,1158,1756
601,1173,1762
697,1177,1800
698,1178,1815
716,1183,1855
718,1184,1856
787,1191,1857
834,1207,1858
853,1225,1865
888,1228,1866
895,1231,1882
948,1257,1906
949,1267,1907
951,1294,1949
952,1313,1977
983,1321,1990
985,1323,2075
1002,1331,2087
1003,1334,2096
1049,1405,2123
1053,1406,2158
1058,1407,2160
1060,1555,2164
1066,1558,2165
1071,1566,2192
1078,1567,2255
1087,1568,2276
1088,1580,2277
1090,1581,2278
1091,1582,2279
1092,1585,2281
1093,1609,2282
1095,1610,2283
1096,1726,2287
1097,1881,2288
1098,1993,2329
1099,2034,2344
1100,2068,2375
1109,2129,2481
1110,2147,2543
1111,2148,2607
1164,2157,2660
1167,2161,2736
1168,2166,2737
1190,2187,2738
1207,2192,2742
1213,2210,2743
1224,2249,2861
1234,2384,2874
1235,2474,2889
1242,2542,2923
1254,2568,2965
1256,2600,2966
1277,2686,2995
1278,2691,3022
1311,2811,3144
1324,2818,3152
1355,2857,3211
1434,2873,3230
1436,2874,3250
1437,2913,3271
1439,2969,3311
1450,3072,3317
1461,3081,3320
1473,3087,3325
1474,3117,3327
1475,3119,3329
1531,3160,3355
1549,3297,3390
1595,3301,3413
1599,3463,3420
1600,3495,3428
1602,3563,3442
1621,3564,3475
1646,3572,3557
1647,3647,3594
1662,3658,3719
1669,3686,3752
1675,3687,3753
1727,3690,3787
1728,3713,3892
1751,3714,3959
1759,3715,3960
1762,3716,3961
1774,3717,3962
1826,3719,3963
1838,3724,3964
1882,3756,3965
1891,3757,3970
1892,3758,3978
1893,3759,4090
1895,3760,4091
1986,3761,4092
1990,3762,4095
2021,3763,4096
2067,3764,4154
2135,3765,4175
2174,4010,4289
2184,4035,
2232,4036,
2233,4164,
2242,4214,
2256,4350,
2276,4500,
2280,4521,
2287,4522,
2363,4523,
2378,4524,
2384,4526,
2395,4527,
2397,4553,
2400,4555,
2403,4556,
2404,,
2415,,
2443,,
2453,,
2454,,
2456,,
2461,,
2488,,
2491,,
2510,,
2511,,
2532,,
2539,,
2605,,
2606,,
2659,,
2737,,
2750,,
2754,,
2760,,
2761,,
2762,,
2763,,
2765,,
