"","Taxa","Sections1","Sections2","r","p"
"1","Sphagnum & TSI","-36","187","0.181631885346652","0.6967"
"2","Sphagnum & TSI","208.666666666667","479","-0.16716951942812","0.536"
"3","Sphagnum & TSI","493.333333333333","731.666666666667","0.714605669522792","0.0041"
"4","Sphagnum & TSI","746","839","0.5064708907673","0.0929"
"5","Sphagnum & TSI","847.333333333333","1180","0.350193979713123","0.0677"
"6","Sphagnum & TSI","1197","1571.33333333333","0.749394388319831","1e-04"
"7","Sphagnum & TSI","1591","1918.33333333333","-0.539735928384703","0.0253"
"8","Sphagnum & TSI","1941","2200.66666666667","-0.898960599992572","0"
"9","Sphagnum & TSI","2221.66666666667","2528","0.765103454917027","3e-04"
"10","Sphagnum & TSI","2528","2798","0.710313267268524","0.0044"
"11","Sphagnum & TSI","2818.33333333333","3207.66666666667","0.495663338768624","0.0509"
"12","Sphagnum & TSI","3245.33333333333","3693.33333333333","0.468848855667901","0.1717"
"13","Sphagnum & GreenTemp","-36","187","0.607928734192499","0.0211"
"14","Sphagnum & GreenTemp","208.666666666667","479","0.188263280998597","0.485"
"15","Sphagnum & GreenTemp","493.333333333333","731.666666666667","0.13311269028504","0.6501"
"16","Sphagnum & GreenTemp","746","839","0.671205759982195","0.0169"
"17","Sphagnum & GreenTemp","847.333333333333","1180","-0.183605367731415","0.3497"
"18","Sphagnum & GreenTemp","1197","1571.33333333333","-0.429350800743075","0.0589"
"19","Sphagnum & GreenTemp","1591","1918.33333333333","0.13095818361134","0.6164"
"20","Sphagnum & GreenTemp","1941","2200.66666666667","0.351706640207877","0.2386"
"21","Sphagnum & GreenTemp","2221.66666666667","2528","-0.265628216801511","0.3028"
"22","Sphagnum & GreenTemp","2528","2798","0.577927959939028","0.0304"
"23","Sphagnum & GreenTemp","2818.33333333333","3207.66666666667","-0.210993111440812","0.4328"
"24","Sphagnum & GreenTemp","3245.33333333333","3693.33333333333","-0.630762325694348","0.0505"
"25","Sphagnum & d18O","-36","187","0.903083893332769","3e-04"
"26","Sphagnum & d18O","208.666666666667","479","0.103215127229238","0.7037"
"27","Sphagnum & d18O","493.333333333333","731.666666666667","0.634467805473763","0.0148"
"28","Sphagnum & d18O","746","839","0.67336491481126","0.0164"
"29","Sphagnum & d18O","847.333333333333","1180","0.0790894175751048","0.6891"
"30","Sphagnum & d18O","1197","1571.33333333333","0.723997903143584","3e-04"
"31","Sphagnum & d18O","1591","1918.33333333333","0.653196161216867","0.0045"
"32","Sphagnum & d18O","1941","2200.66666666667","-0.178611208857451","0.5593"
"33","Sphagnum & d18O","2221.66666666667","2528","0.821245903457373","1e-04"
"34","Sphagnum & d18O","2528","2798","0.823159133351415","3e-04"
"35","Sphagnum & d18O","2818.33333333333","3207.66666666667","0.0938917195217476","0.7294"
"36","Sphagnum & d18O","3245.33333333333","3693.33333333333","-0.596694815734898","0.0686"
"37","Sphagnum & VSSI","-36","187","-0.90217859731683","1e-04"
"38","Sphagnum & VSSI","208.666666666667","479","0.0672145804572077","0.8047"
"39","Sphagnum & VSSI","493.333333333333","731.666666666667","0.227968007412755","0.4331"
"40","Sphagnum & VSSI","746","839","-0.659142688681506","0.0197"
"41","Sphagnum & VSSI","847.333333333333","1180","0.551018402041558","0.0024"
"42","Sphagnum & VSSI","1197","1571.33333333333","-0.239223846842025","0.3097"
"43","Sphagnum & VSSI","1591","1918.33333333333","-0.604215323452537","0.0102"
"44","Sphagnum & VSSI","1941","2200.66666666667","-0.320536658965513","0.2856"
"45","Sphagnum & VSSI","2221.66666666667","2528","0.134352876655501","0.6072"
"46","Sphagnum & VSSI","2528","2798","0.90063825248485","0"
"47","Sphagnum & VSSI","2818.33333333333","3207.66666666667","-0.266324914568813","0.3187"
"48","Sphagnum & VSSI","3245.33333333333","3693.33333333333","-0.124306680287228","0.7322"
"49","Sphagnum & WMI","-36","187","-0.217655662412502","0.4548"
"50","Sphagnum & WMI","208.666666666667","479","-0.489890540776846","0.0541"
"51","Sphagnum & WMI","493.333333333333","731.666666666667","-0.495597456569805","0.0715"
"52","Sphagnum & WMI","746","839","0.637202261680674","0.0258"
"53","Sphagnum & WMI","847.333333333333","1180","0.387017161877339","0.0419"
"54","Sphagnum & WMI","1197","1571.33333333333","0.845125390518722","0"
"55","Sphagnum & WMI","1591","1918.33333333333","-0.0390339819322065","0.8818"
"56","Sphagnum & WMI","1941","2200.66666666667","-0.488031046834552","0.0907"
"57","Sphagnum & WMI","2221.66666666667","2528","-0.201286996664915","0.4385"
"58","Sphagnum & WMI","2528","2798","0.725096698896303","0.0033"
"59","Sphagnum & WMI","2818.33333333333","2902.33333333333","0.800287127536563","0.1039"
"60","Alnus & TSI","-36","187","0.213244705286086","0.6462"
"61","Alnus & TSI","208.666666666667","472.666666666667","-0.0954356885938049","0.768"
"62","Alnus & TSI","493.333333333333","822.666666666667","0.49535562623304","0.0191"
"63","Alnus & TSI","831","1026","0.121441273976371","0.61"
"64","Alnus & TSI","1038.66666666667","1255.33333333333","-0.489867184347457","0.0754"
"65","Alnus & TSI","1274.66666666667","1571.33333333333","0.409263058880415","0.1155"
"66","Alnus & TSI","1591","1985.66666666667","0.166601021911494","0.4827"
"67","Alnus & TSI","2007.33333333333","2312","-0.275808435317346","0.3011"
"68","Alnus & TSI","2330.66666666667","2628.66666666667","0.135017473924674","0.6181"
"69","Alnus & TSI","2650","2965.33333333333","-0.915838182326619","0"
"70","Alnus & TSI","2988","3407.66666666667","0.698914899586212","0.0079"
"71","Alnus & TSI","3444","3693.33333333333","0.24383146259514","0.6926"
"72","Alnus & GreenTemp","-36","65","-0.604067466447965","0.1509"
"73","Alnus & GreenTemp","82","472.666666666667","-0.382794350023746","0.1058"
"74","Alnus & GreenTemp","493.333333333333","822.666666666667","0.719756129973109","2e-04"
"75","Alnus & GreenTemp","831","1026","-0.138774924166737","0.5596"
"76","Alnus & GreenTemp","1038.66666666667","1255.33333333333","0.532242239722498","0.0501"
"77","Alnus & GreenTemp","1274.66666666667","1571.33333333333","-0.268841401036626","0.314"
"78","Alnus & GreenTemp","1591","1985.66666666667","-0.584297871837171","0.0068"
"79","Alnus & GreenTemp","2007.33333333333","2312","-0.309550555377562","0.2433"
"80","Alnus & GreenTemp","2330.66666666667","2628.66666666667","-0.11882116944346","0.6612"
"81","Alnus & GreenTemp","2650","2965.33333333333","-0.305032941740858","0.2506"
"82","Alnus & GreenTemp","2988","3407.66666666667","-0.340214298654551","0.2554"
"83","Alnus & GreenTemp","3444","3693.33333333333","0.300866915707341","0.6228"
"84","Alnus & d18O","-36","65","0.854536427874156","0.3477"
"85","Alnus & d18O","82","472.666666666667","-0.403799798634725","0.0864"
"86","Alnus & d18O","493.333333333333","822.666666666667","0.596139786967525","0.0034"
"87","Alnus & d18O","831","1026","-0.412521604707695","0.0707"
"88","Alnus & d18O","1038.66666666667","1255.33333333333","-0.701610875055416","0.0052"
"89","Alnus & d18O","1274.66666666667","1571.33333333333","0.67186564875679","0.0044"
"90","Alnus & d18O","1591","1985.66666666667","0.203411457449104","0.3897"
"91","Alnus & d18O","2007.33333333333","2312","0.0470494834627741","0.8626"
"92","Alnus & d18O","2330.66666666667","2628.66666666667","0.167448376006459","0.5353"
"93","Alnus & d18O","2650","2965.33333333333","0.530557538754231","0.0345"
"94","Alnus & d18O","2988","3407.66666666667","-0.422760213185629","0.1501"
"95","Alnus & d18O","3444","3693.33333333333","-0.667621553737524","0.2182"
"96","Alnus & VSSI","-36","65","-0.759395384031976","0.2406"
"97","Alnus & VSSI","82","472.666666666667","0.462491305505435","0.0462"
"98","Alnus & VSSI","493.333333333333","822.666666666667","-0.505583485908068","0.0164"
"99","Alnus & VSSI","831","1026","0.167580244766427","0.4801"
"100","Alnus & VSSI","1038.66666666667","1255.33333333333","-0.119571396749764","0.6839"
"101","Alnus & VSSI","1274.66666666667","1571.33333333333","-0.237440243302633","0.3759"
"102","Alnus & VSSI","1591","1985.66666666667","0.16987867794791","0.474"
"103","Alnus & VSSI","2007.33333333333","2312","0.269355165471683","0.3131"
"104","Alnus & VSSI","2330.66666666667","2628.66666666667","-0.807928940566476","2e-04"
"105","Alnus & VSSI","2650","2965.33333333333","0.0263965807825681","0.9227"
"106","Alnus & VSSI","2988","3407.66666666667","0.318952038364186","0.2882"
"107","Alnus & VSSI","3444","3693.33333333333","0.788886263125501","0.1127"
"108","Alnus & WMI","-36","65","0.409303602272674","0.3619"
"109","Alnus & WMI","82","340.666666666667","0.495017229609456","0.0854"
"110","Alnus & WMI","366.333333333333","636","0.10397763587997","0.7478"
"111","Alnus & WMI","651.666666666667","940.333333333333","0.631146560293451","2e-04"
"112","Alnus & WMI","952","1127.66666666667","0.0968286137763781","0.7419"
"113","Alnus & WMI","1146.33333333333","1351","-0.0375529138901601","0.9078"
"114","Alnus & WMI","1371","1571.33333333333","0.329134325559303","0.323"
"115","Alnus & WMI","1591","1818.33333333333","0.608611572491108","0.0357"
"116","Alnus & WMI","1839","2136","-0.10037173261324","0.7219"
"117","Alnus & WMI","2156.33333333333","2312","0.971676387940205","0"
"118","Alnus & WMI","2330.66666666667","2508.33333333333","0.423548839024354","0.2226"
"119","Alnus & WMI","2528","2776","-0.30844003842071","0.3052"
"120","Alnus & WMI","2798","2902.33333333333","-0.740445643597865","0.0923"
"121","Calluna & TSI","-36","147","0.369362821324593","0.5406"
"122","Calluna & TSI","166.333333333333","511.666666666667","0.283140724884405","0.2264"
"123","Calluna & TSI","534.666666666667","787","0.0948555441534818","0.7081"
"124","Calluna & TSI","795.333333333333","1038.66666666667","0.181120814157683","0.3862"
"125","Calluna & TSI","1052","1429.66666666667","0.207334781331587","0.3545"
"126","Calluna & TSI","1450.66666666667","1878","0.576330986021753","0.005"
"127","Calluna & TSI","1897.33333333333","2406.66666666667","-0.193718178474773","0.343"
"128","Calluna & TSI","2426","2776","-0.6290022486102","0.0052"
"129","Calluna & TSI","2798","3245.33333333333","-0.0761258946509473","0.764"
"130","Calluna & TSI","3286.33333333333","3693.33333333333","0.325203552640876","0.3931"
"131","Calluna & GreenTemp","-36","147","-0.400775651091872","0.1967"
"132","Calluna & GreenTemp","166.333333333333","511.666666666667","-0.632320514567629","0.0028"
"133","Calluna & GreenTemp","534.666666666667","787","0.340468564119252","0.1668"
"134","Calluna & GreenTemp","795.333333333333","1038.66666666667","0.265804276568623","0.1991"
"135","Calluna & GreenTemp","1052","1429.66666666667","0.029783249342688","0.8953"
"136","Calluna & GreenTemp","1450.66666666667","1878","0.10322543196217","0.6476"
"137","Calluna & GreenTemp","1897.33333333333","2406.66666666667","0.0855696530812496","0.6777"
"138","Calluna & GreenTemp","2426","2776","-0.349616247864335","0.155"
"139","Calluna & GreenTemp","2798","3245.33333333333","0.763179192289303","2e-04"
"140","Calluna & GreenTemp","3286.33333333333","3693.33333333333","-0.524056433372507","0.1476"
"141","Calluna & d18O","-36","147","0.1135146638743","0.789"
"142","Calluna & d18O","166.333333333333","511.666666666667","-0.487036819559324","0.0294"
"143","Calluna & d18O","534.666666666667","787","0.261277875570504","0.295"
"144","Calluna & d18O","795.333333333333","1038.66666666667","-0.0820506854412754","0.6966"
"145","Calluna & d18O","1052","1429.66666666667","-0.00350097717001496","0.9877"
"146","Calluna & d18O","1450.66666666667","1878","-0.323906329076259","0.1414"
"147","Calluna & d18O","1897.33333333333","2406.66666666667","-0.312657096502394","0.1199"
"148","Calluna & d18O","2426","2776","-0.513328441765516","0.0293"
"149","Calluna & d18O","2798","3245.33333333333","-0.461339572708816","0.054"
"150","Calluna & d18O","3286.33333333333","3693.33333333333","0.0722851146755214","0.8534"
"151","Calluna & VSSI","-36","147","0.3560852693644","0.3469"
"152","Calluna & VSSI","166.333333333333","511.666666666667","0.567287358559661","0.0091"
"153","Calluna & VSSI","534.666666666667","787","-0.417291285700678","0.0849"
"154","Calluna & VSSI","795.333333333333","1038.66666666667","0.224068176341728","0.2816"
"155","Calluna & VSSI","1052","1429.66666666667","-0.531628019185938","0.0109"
"156","Calluna & VSSI","1450.66666666667","1878","-0.0555487181627306","0.806"
"157","Calluna & VSSI","1897.33333333333","2406.66666666667","-0.571445094305291","0.0023"
"158","Calluna & VSSI","2426","2776","-0.781337527966883","1e-04"
"159","Calluna & VSSI","2798","3245.33333333333","0.270027707582083","0.2785"
"160","Calluna & VSSI","3286.33333333333","3693.33333333333","-0.192257681014908","0.6202"
"161","Calluna & WMI","-36","65","0.854482082602687","0.0143"
"162","Calluna & WMI","82","355","0.15062099675953","0.5777"
"163","Calluna & WMI","371","787","-0.437126691866571","0.0226"
"164","Calluna & WMI","795.333333333333","1038.66666666667","0.31612297035682","0.1237"
"165","Calluna & WMI","1052","1429.66666666667","0.243044503765677","0.2758"
"166","Calluna & WMI","1450.66666666667","1718.66666666667","0.383464806077166","0.1759"
"167","Calluna & WMI","1737.66666666667","2115.66666666667","0.749383504274224","2e-04"
"168","Calluna & WMI","2136","2508.33333333333","0.343653971357715","0.1379"
"169","Calluna & WMI","2528","2776","-0.542114405592132","0.0556"
"170","Calluna & WMI","2798","2902.33333333333","0.904429071933022","0.0133"
