"","Proxy_Records","r","p"
"1","Sphagnum & TSI","0.3681443251144","0"
"2","Sphagnum & GLTemp","0.221170694620367","0.0102"
"3","Sphagnum & WMI","-0.0123894084641483","0.887"
"4","Sphagnum & WMO","0.729454569984964","0"
"5","Sphagnum & VSSI","-0.1397435366026","0.1087"
"6","Alnus & TSI","0.366913537887425","1e-04"
"7","Alnus & GLTemp","0.340570858427304","3e-04"
"8","Alnus & WMI","0.356186934963931","1e-04"
"9","Alnus & WMO","0.0146779152502619","0.8813"
"10","Alnus & VSSI","-0.0409628641249322","0.6753"
"11","Calluna & TSI","0.337506716698771","0"
"12","Calluna & GLTemp","0.282001594496293","6e-04"
"13","Calluna & WMI","0.596921656118062","0"
"14","Calluna & WMO","0.0736642480612804","0.3819"
"15","Calluna & VSSI","-0.295676955046383","3e-04"
